PROVPLATS_ID,NAMN_PROVPLATS,PROV_KOD_ORIGINAL,PROVTAG_SYFTE,PROVPLATS_MILJO,PROVPLATS_TYP,PROVTAG_DAT,PROVTAG_ORG,ACKR_PROV,PLATTFORM,PROVTAG_MET,DIREKT_BEHA
00103839,Bolmen,C1968/08024,NMO,SJO-SOTV-RINN,Bakgrund,1968-04,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08001,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-27,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08002,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-27,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08003,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-28,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08004,NMO,SJO-SOTV-RINN,Bakgrund,1968-10-30,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08005,NMO,SJO-SOTV-RINN,Bakgrund,1968-11-10,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08006,NMO,SJO-SOTV-RINN,Bakgrund,1968-11-16,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08007,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08008,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08009,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08010,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08011,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08012,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08013,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08014,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1968/08015-08024,NMO,SJO-SOTV-RINN,Bakgrund,1968-03-24,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1968/08005-08014,NMO,SJO-SOTV-RINN,Bakgrund,1968-08-12,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08042,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08043,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08044,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08045,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08046,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08047,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08048,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08049,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08050,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08051,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08052,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08053,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08054,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08055,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08056,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C69/,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08027,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08028,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08029,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08030,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08031,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08032,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08033,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08034,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08035,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08036,NMO,SJO-SOTV-RINN,Bakgrund,1969-04,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08037,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08038,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08039,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08001,NMO,SJO-SOTV-RINN,Bakgrund,1969-09-11,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08002,NMO,SJO-SOTV-RINN,Bakgrund,1969-09-11,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08003,NMO,SJO-SOTV-RINN,Bakgrund,1969-09-11,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08004,NMO,SJO-SOTV-RINN,Bakgrund,1969-09-11,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08005,NMO,SJO-SOTV-RINN,Bakgrund,1969-09-11,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08006,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08007,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08008,NMO,SJO-SOTV-RINN,Bakgrund,1969-07-21,NRM,Nej,SMABAT,Natfiske,FRYST
