PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1969/08035,Gadda,206139,,1,
C1969/08036,Gadda,206139,,1,
C1969/08037,Gadda,206139,,1,
C1969/08038,Gadda,206139,,1,
C1969/08039,Gadda,206139,,1,
C1969/08001,Gadda,206139,,1,
C1969/08002,Gadda,206139,,1,
C1969/08003,Gadda,206139,,1,
C1969/08004,Gadda,206139,,1,
C1969/08005,Gadda,206139,,1,
C1969/08006,Gadda,206139,,1,
C1969/08007,Gadda,206139,,1,
C1969/08008,Gadda,206139,,1,
C1969/08009,Gadda,206139,,1,
C1969/08010,Gadda,206139,,1,
C1969/08011,Gadda,206139,,1,
C1969/08012,Gadda,206139,,1,
C1969/08013,Gadda,206139,,1,
C1969/08014,Gadda,206139,,1,
C1969/08015,Gadda,206139,,1,
C1969/08016,Gadda,206139,,1,
C1969/08017,Gadda,206139,,1,
C1969/08018,Gadda,206139,,1,
C1969/08019,Gadda,206139,,1,
C1969/08020,Gadda,206139,,1,
C1969/08021,Gadda,206139,,1,
C1969/08022,Gadda,206139,,1,
C1969/08023,Gadda,206139,,1,
C1969/08024,Gadda,206139,,1,
C1969/08025,Gadda,206139,,1,
C1969/08026,Gadda,206139,,1,
C1969/08040,Gadda,206139,,1,
C1969/08041,Gadda,206139,,1,
C1969/08003-08012,Gadda,206139,X,10,
C1970/08062,Gadda,206139,,1,
C1970/08063,Gadda,206139,,1,
C1970/08049,Gadda,206139,,1,
C1970/08050,Gadda,206139,,1,
C1970/08051,Gadda,206139,,1,
C1970/08052,Gadda,206139,,1,
C1970/08053,Gadda,206139,,1,
C1970/08054,Gadda,206139,,1,
C1970/08055,Gadda,206139,,1,
C1970/08056,Gadda,206139,,1,
C1970/08057,Gadda,206139,,1,
C1970/08058,Gadda,206139,,1,
C1970/08039,Gadda,206139,,1,
C1970/08040,Gadda,206139,,1,
C1970/08041,Gadda,206139,,1,
C1970/08042,Gadda,206139,,1,
C1970/08043,Gadda,206139,,1,
C1970/08044,Gadda,206139,,1,
C1970/08045,Gadda,206139,,1,
C1970/08046,Gadda,206139,,1,
C1970/08047,Gadda,206139,,1,
C1970/08048,Gadda,206139,,1,
C1970/08001,Gadda,206139,,1,
C1970/08002,Gadda,206139,,1,
C1970/08003,Gadda,206139,,1,
C1970/08004,Gadda,206139,,1,
C1970/08005,Gadda,206139,,1,
C1970/08006,Gadda,206139,,1,
C1970/08007,Gadda,206139,,1,
C1970/08008,Gadda,206139,,1,
C1970/08009,Gadda,206139,,1,
C1970/08010,Gadda,206139,,1,
C1970/08011,Gadda,206139,,1,
C1970/08012,Gadda,206139,,1,
C1970/08013,Gadda,206139,,1,
C1970/08014,Gadda,206139,,1,
C1970/08015,Gadda,206139,,1,
C1970/08016,Gadda,206139,,1,
C1970/08017,Gadda,206139,,1,
C1970/08018,Gadda,206139,,1,
C1970/08019,Gadda,206139,,1,
C1970/08020,Gadda,206139,,1,
C1970/08021,Gadda,206139,,1,
C1970/08022,Gadda,206139,,1,
C1970/08023,Gadda,206139,,1,
C1970/08024,Gadda,206139,,1,
C1970/08025,Gadda,206139,,1,
C1970/08026,Gadda,206139,,1,
C1970/08027,Gadda,206139,,1,
C1970/08028,Gadda,206139,,1,
C1970/08029,Gadda,206139,,1,
C1970/08030,Gadda,206139,,1,
C1970/08031,Gadda,206139,,1,
C1970/08032,Gadda,206139,,1,
C1970/08033,Gadda,206139,,1,
C1970/08034,Gadda,206139,,1,
C1970/08035,Gadda,206139,,1,
C1970/08036,Gadda,206139,,1,
C1970/08037,Gadda,206139,,1,
C1970/08038,Gadda,206139,,1,
C1971/08046,Gadda,206139,,1,
C1971/08048,Gadda,206139,,1,
C1971/08050,Gadda,206139,,1,
C1971/08054,Gadda,206139,,1,
C1970/08059,Gadda,206139,,1,
C1970/08060,Gadda,206139,,1,
C1970/08061,Gadda,206139,,1,
C1970/08064-08073,Gadda,206139,X,10,
C1970/08074-08083,Gadda,206139,X,10,
C1971/08062,Gadda,206139,,1,
C1971/08063,Gadda,206139,,1,
C1971/08064,Gadda,206139,,1,
C1971/08055,Gadda,206139,,1,
C1971/08056,Gadda,206139,,1,
C1971/08001,Gadda,206139,,1,
C1971/08002,Gadda,206139,,1,
C1971/08003,Gadda,206139,,1,
C1971/08004,Gadda,206139,,1,
C1971/08005,Gadda,206139,,1,
C1971/08006,Gadda,206139,,1,
C1971/08007,Gadda,206139,,1,
C1971/08008,Gadda,206139,,1,
C1971/08009,Gadda,206139,,1,
C1971/08010,Gadda,206139,,1,
C1971/08011,Gadda,206139,,1,
C1971/08012,Gadda,206139,,1,
C1971/08013,Gadda,206139,,1,
C1971/08014,Gadda,206139,,1,
C1971/08015,Gadda,206139,,1,
C1971/08016,Gadda,206139,,1,
C1971/08017,Gadda,206139,,1,
C1971/08018,Gadda,206139,,1,
C1971/08019,Gadda,206139,,1,
C1971/08020,Gadda,206139,,1,
C1971/08021,Gadda,206139,,1,
C1971/08022,Gadda,206139,,1,
C1971/08023,Gadda,206139,,1,
C1971/08024,Gadda,206139,,1,
C1971/08025,Gadda,206139,,1,
C1971/08026,Gadda,206139,,1,
C1971/08027,Gadda,206139,,1,
C1971/08028,Gadda,206139,,1,
C1971/08029,Gadda,206139,,1,
C1971/08030,Gadda,206139,,1,
C1971/08031,Gadda,206139,,1,
C1971/08032,Gadda,206139,,1,
C1971/08033,Gadda,206139,,1,
C1971/08034,Gadda,206139,,1,
C1971/08035,Gadda,206139,,1,
C1971/08036,Gadda,206139,,1,
C1971/08037,Gadda,206139,,1,
C1971/08038,Gadda,206139,,1,
C1971/08039,Gadda,206139,,1,
C1971/08040,Gadda,206139,,1,
C1971/08041,Gadda,206139,,1,
C1971/08042,Gadda,206139,,1,
C1971/08043,Gadda,206139,,1,
C1971/08044,Gadda,206139,,1,
C1971/08045,Gadda,206139,,1,
C1971/08047,Gadda,206139,,1,
C1971/08049,Gadda,206139,,1,
C1971/08051,Gadda,206139,,1,
C1971/08052,Gadda,206139,,1,
C1971/08053,Gadda,206139,,1,
C1971/08057,Gadda,206139,,1,
C1971/08058,Gadda,206139,,1,
C1971/08059,Gadda,206139,,1,
C1971/08060,Gadda,206139,,1,
C1971/08011-08020,Gadda,206139,X,10,
C1971/08061,Gadda,206139,,1,
C1971/08057-08067,Gadda,206139,X,11,
C1972/08095,Gadda,206139,,1,
C1972/08081,Gadda,206139,,1,
C1972/08082,Gadda,206139,,1,
C1972/08083,Gadda,206139,,1,
C1972/08084,Gadda,206139,,1,
C1972/08085,Gadda,206139,,1,
C1972/08086,Gadda,206139,,1,
C1972/08087,Gadda,206139,,1,
C1972/08051,Gadda,206139,,1,
C1972/08052,Gadda,206139,,1,
C1972/08053,Gadda,206139,,1,
C1972/08054,Gadda,206139,,1,
C1972/08055,Gadda,206139,,1,
C1972/08056,Gadda,206139,,1,
C1972/08057,Gadda,206139,,1,
C1972/08058,Gadda,206139,,1,
C1972/08059,Gadda,206139,,1,
C1972/08060,Gadda,206139,,1,
C1972/08061,Gadda,206139,,1,
C1972/08062,Gadda,206139,,1,
C1972/08063,Gadda,206139,,1,
C1972/08064,Gadda,206139,,1,
C1972/08065,Gadda,206139,,1,
C1972/08066,Gadda,206139,,1,
C1972/08067,Gadda,206139,,1,
C1972/08068,Gadda,206139,,1,
C1972/08069,Gadda,206139,,1,
C1972/08070,Gadda,206139,,1,
C1972/08071,Gadda,206139,,1,
C1972/08072,Gadda,206139,,1,
C1972/08073,Gadda,206139,,1,
